model,resource_class,job_s,image_ensure_s,proof_step_s,lease_wait_s,lease_hold_s,projection_s,configure_s,scratch_build_s,dso_s,cpp_tests_s,python_tests_s,e2e_s,engine_build_s,result_verification_s,html_report_s
dpr,shared,285.0,98.0,178.0,0.035,172.557,1.173,9.233,36.61,1.173,6.33,25.824,89.266,53.154,0.177,0.271
eagle_vlm,shared,628.0,63.0,555.0,170.97,378.13,1.073,9.388,35.209,1.289,6.801,3.617,317.049,220.047,0.201,0.253
electra,shared,274.0,82.0,182.0,0.023,176.553,1.052,9.809,37.312,1.352,6.273,25.672,92.2,57.291,0.183,0.208
elf_flow,shared,281.0,61.0,210.0,0.019,203.887,0.875,7.654,34.972,1.15,0.18,33.038,123.434,92.772,0.197,0.223
falcon,shared,610.0,26.0,573.0,62.126,505.507,1.126,9.698,48.386,1.391,0.117,103.515,338.113,280.636,0.203,0.225
flux,exclusive_gpu,4103.0,146.0,3946.0,2909.205,1030.958,1.311,10.258,46.136,1.684,1.581,6.821,958.806,575.453,0.185,0.231
fnet,shared,272.0,71.0,190.0,0.017,184.438,1.271,10.318,34.729,1.359,7.249,28.759,97.834,64.975,0.183,0.226
gemma,shared,543.0,22.0,510.0,0.014,505.745,1.035,8.79,38.877,1.226,0.102,78.33,374.585,326.613,0.192,0.236
glm,shared,2174.0,25.0,2139.0,1441.662,691.941,1.683,12.017,45.582,1.276,0.11,3.856,623.281,480.501,0.208,0.239
gpt2,exclusive_gpu,823.0,26.0,786.0,382.497,398.955,1.142,9.63,47.513,1.657,0.133,138.395,196.843,153.693,0.235,0.223
gpt_neo,shared,462.0,85.0,367.0,0.034,361.744,1.165,9.625,45.048,1.608,0.124,104.441,196.724,156.812,0.192,0.22
gpt_neox,shared,495.0,26.0,457.0,175.365,275.219,1.358,11.864,48.868,1.337,0.116,113.374,94.782,58.731,0.197,0.261
gpt_oss,exclusive_gpu,3186.0,371.0,2803.0,1624.837,1172.973,1.192,11.947,42.821,1.312,0.114,32.261,1077.5,867.516,0.203,0.243
granite,shared,846.0,23.0,811.0,50.414,755.152,1.302,10.277,42.416,1.421,0.127,170.785,525.454,452.114,0.194,0.213
internlm,shared,657.0,105.0,541.0,0.028,536.811,1.059,8.432,38.018,1.968,0.179,116.855,367.37,325.4,0.201,0.221
